Fish ID,Lifetime,Average Neighbors,Neighbors
12,20000,11.62835,15
36,20000,11.82225,13
71,20000,10.58875,7
87,20000,10.34345,14
127,18632,10.702447402318592,0
129,18575,11.137012113055182,8
159,16967,12.067896504980256,7
164,16686,11.706939949658397,8
169,16425,11.503805175038051,12
177,15976,11.980408112168252,3
192,15195,11.392036854228365,18
196,14968,11.872127204703368,8
203,14622,13.204828340856244,15
206,14484,12.375724937862469,13
208,14369,11.377409701440602,4
216,13943,12.08226350139855,13
222,13464,11.529040404040405,6
224,13399,12.753339801477722,10
238,12604,13.019438273563948,17
245,12264,11.728799739073711,3
250,12048,11.622094953519257,6
253,11896,9.976126429051781,1
255,11812,11.364036572976634,3
257,11712,11.963456284153006,10
261,11424,12.316964285714286,6
263,11362,11.346329871501496,8
265,11255,12.613060861839182,2
268,11164,10.445360085990684,12
270,11024,12.065493468795356,9
275,10726,12.042513518553049,14
277,10608,11.634615384615385,11
282,10324,13.541359938008524,17
283,10301,12.040675662557033,15
287,10093,12.399187555731695,5
293,9736,11.756778964667214,4
295,9624,13.63050706566916,15
298,9481,11.917941145448792,7
299,9444,12.157560355781449,18
300,9343,12.14331585143958,8
303,9224,13.445793581960103,3
309,8921,12.394014123977133,1
315,8599,12.232120013955111,16
323,8120,12.52832512315271,13
326,7799,10.668675471214259,1
335,7286,13.237990667032665,12
337,7163,11.705570291777189,12
339,6940,9.678818443804035,11
340,6926,9.322119549523535,12
341,6841,10.689811431077327,7
342,6774,11.985237673457338,15
347,6369,10.64986654105825,10
351,6140,8.717752442996742,13
360,5741,13.352203448876502,14
362,5600,13.67232142857143,13
364,5399,12.490461196517874,10
366,5269,10.630290377680774,5
369,5068,12.957182320441989,7
373,4921,9.232066653119285,2
374,4858,11.888843145327295,13
377,4688,13.170648464163822,15
378,4654,10.337559088955738,17
379,4561,13.51304538478404,8
383,4374,13.449245541838135,10
384,4303,12.60167325122008,11
385,4293,13.096668996040066,11
393,3711,7.043654001616815,2
396,3573,10.81556115309264,12
397,3503,9.910362546388809,7
398,3479,10.185110663983904,15
399,3395,10.703092783505154,14
400,3352,8.326968973747016,17
401,3289,9.386439647309212,19
403,3200,11.95125,11
408,3009,12.188767032236623,9
415,2666,12.001500375093773,2
417,2553,6.529573051312182,15
419,2445,11.501840490797546,6
421,2342,7.351409052092229,19
423,2211,14.137946630483944,3
427,1978,12.600606673407482,18
429,1860,11.911827956989248,9
432,1679,10.772483621203097,16
434,1578,9.163498098859316,17
439,1354,11.44165435745938,11
441,1232,9.534902597402597,19
442,1191,10.10159529806885,11
444,1129,10.718334809565988,5
445,1051,10.247383444338725,18
446,986,12.522312373225152,12
448,930,9.925806451612903,16
452,698,9.911174785100286,14
453,581,0.0,0
455,491,0.0,0
457,437,10.363844393592677,16
458,395,3.288607594936709,9
459,316,0.0,0
461,195,16.369230769230768,7
463,81,0.0,0
464,30,0.0,0
465,28,0.0,0
83,11,0.0,0
90,32,0.0,0
98,131,0.31297709923664124,0
25,134,0.7388059701492538,0
46,191,4.706806282722513,1
18,211,3.5545023696682465,0
29,292,0.5513698630136986,0
19,334,0.8592814371257484,0
104,204,0.7549019607843137,0
53,439,0.5079726651480638,0
58,514,5.739299610894942,0
67,525,4.801904761904762,0
109,179,0.0,0
110,175,0.0,0
112,92,0.0,0
9,787,6.12579415501906,0
115,48,0.0,0
37,876,4.891552511415525,0
92,933,5.913183279742765,0
102,854,3.557377049180328,0
4,1031,7.7012609117361785,9
114,381,0.0,0
57,1141,6.061349693251533,0
121,100,0.0,0
28,1229,5.797396257119609,1
124,55,0.0,0
10,1296,7.800154320987654,3
125,84,0.0,0
95,1408,5.691051136363637,0
50,1425,7.3635087719298244,0
74,1508,7.429708222811671,2
103,1411,5.506024096385542,0
1,1611,6.9379267535692115,0
131,165,0.0,0
34,1718,5.363795110593713,1
132,259,0.0,0
41,1872,5.168269230769231,0
136,113,0.0,0
130,484,0.0,0
138,90,0.0,0
137,155,0.0,0
139,100,0.0,0
141,104,0.0,0
133,619,5.825525040387722,4
142,134,0.0,0
35,2460,8.490650406504065,1
16,2493,7.4324107501002805,8
8,2514,9.655131264916468,3
2,2545,7.491159135559921,3
52,2569,9.90657843518879,1
66,2598,6.685142417244034,0
143,367,0.0,0
26,2748,9.38391557496361,0
6,2748,9.037845705967976,9
100,2797,9.062209510189488,0
0,2808,8.86360398860399,24
147,410,0.7121951219512195,0
69,2941,8.925875552533151,1
27,3004,9.07589880159787,2
85,3033,9.054401582591494,0
45,3063,9.071172053542279,0
73,3086,7.210628645495787,0
7,3203,8.690290352794255,1
118,2336,9.332619863013699,2
21,3314,6.507242003621002,0
70,3399,8.308325978228892,2
84,3430,7.986297376093295,0
76,3484,9.287026406429392,2
3,3498,6.928244711263579,2
78,3575,8.14881118881119,1
165,238,0.0,0
17,3691,6.943375778921702,1
23,3718,8.408284023668639,0
170,166,0.0,0
134,2093,7.172001911132346,3
123,2683,8.410734252702198,0
48,3932,4.819684638860631,0
89,4024,8.503727634194831,3
64,4041,8.670131155654541,0
140,2015,5.685359801488834,0
82,4186,6.815814620162446,0
180,67,0.0,0
179,111,0.0,0
171,664,1.2756024096385543,0
183,76,0.0,0
168,945,1.2201058201058201,0
59,4488,8.889483065953653,0
44,4553,8.16977816824072,0
157,1664,8.237379807692308,0
42,4644,7.631567614125753,0
97,4667,7.813370473537605,0
190,93,0.23655913978494625,0
49,4805,6.906763787721124,1
68,4869,7.807147258163894,0
189,275,1.549090909090909,0
106,4660,6.960515021459227,0
191,272,0.0,0
62,5080,7.092716535433071,0
30,5129,7.262624293234548,0
198,44,0.0,0
197,152,0.0,0
72,5282,7.007951533510034,0
167,1819,3.7630566245189665,0
126,4082,6.8069573738363545,0
200,158,0.0,0
105,5290,6.5,0
56,5516,8.056562726613487,0
202,327,0.39143730886850153,0
188,1026,5.294346978557505,0
146,3260,6.0478527607361965,1
204,378,0.0,0
210,133,0.0,0
166,2473,6.380105135463,4
158,2997,9.764097430764098,10
47,6001,7.437260456590568,4
172,2338,5.209580838323354,0
38,6057,6.814099389136536,0
213,172,0.0,0
