Fish ID,Lifetime,Average Neighbors
0,1000,56.765
1,1000,83.257
2,1000,82.485
3,1000,81.286
5,1000,79.374
6,1000,62.839
7,1000,78.141
8,1000,25.787
10,1000,59.687
11,1000,81.37
12,1000,61.004
13,1000,75.237
16,1000,76.552
17,1000,84.997
18,1000,84.96
20,1000,80.477
21,1000,82.03
22,1000,55.695
23,1000,29.997
24,1000,29.304
25,1000,80.233
26,1000,22.477
27,1000,78.595
29,1000,86.096
30,1000,89.943
33,1000,83.296
34,1000,84.475
36,1000,37.765
37,1000,26.654
38,1000,82.762
39,1000,82.928
41,1000,82.415
42,1000,49.718
43,1000,64.831
44,1000,81.093
46,1000,75.818
47,1000,60.264
48,1000,89.876
49,1000,31.697
50,1000,86.568
51,1000,86.769
52,1000,91.713
54,1000,87.281
55,1000,58.276
56,1000,57.618
58,1000,88.893
59,1000,61.01
60,1000,61.634
61,1000,62.343
62,1000,91.925
65,1000,64.162
66,1000,87.967
67,1000,94.525
70,1000,81.204
71,1000,88.585
73,1000,17.424
74,1000,82.038
75,1000,68.428
78,1000,50.797
79,1000,82.34
81,1000,81.922
82,1000,26.512
83,1000,54.894
85,1000,85.509
86,1000,77.608
87,1000,89.477
91,1000,88.972
93,1000,57.339
94,1000,21.79
95,1000,83.688
97,1000,30.689
98,1000,24.426
99,1000,56.473
100,1000,57.163
101,1000,57.492
102,1000,91.37
105,1000,52.215
106,1000,64.023
107,1000,59.585
108,1000,84.485
111,1000,28.648
112,1000,73.451
113,1000,88.101
114,1000,79.444
116,1000,69.862
119,1000,93.168
120,1000,91.207
121,1000,87.284
122,1000,78.416
123,1000,92.021
124,1000,87.06
126,1000,85.343
129,1000,84.899
130,1000,62.75
131,1000,76.113
132,1000,85.867
133,1000,88.785
135,1000,60.862
136,1000,84.714
137,1000,75.004
138,1000,25.371
139,1000,95.931
140,1000,49.995
143,1000,88.188
144,1000,56.916
145,1000,91.385
147,1000,87.49
148,1000,84.216
149,1000,85.118
150,1000,82.179
151,1000,90.099
152,1000,74.692
153,1000,90.148
154,1000,84.158
155,1000,55.677
156,1000,83.088
158,1000,88.556
159,1000,33.599
160,1000,89.869
161,1000,30.585
162,1000,86.588
163,1000,60.968
165,1000,80.552
166,1000,59.1
167,1000,85.517
168,1000,79.27
169,1000,83.128
171,1000,61.471
172,1000,90.634
173,1000,85.569
177,1000,64.416
178,1000,92.624
179,1000,27.123
180,1000,82.333
182,1000,90.309
184,1000,82.924
186,1000,77.38
188,1000,93.581
190,1000,73.445
191,1000,79.383
192,1000,85.269
193,1000,84.362
194,1000,91.921
195,1000,62.499
196,1000,89.616
197,1000,25.103
198,1000,94.121
200,999,91.96596596596596
201,996,77.45080321285141
203,986,85.96247464503043
204,972,28.9619341563786
207,957,92.13584117032393
208,951,86.69400630914826
209,944,81.79872881355932
210,935,91.82780748663102
212,919,91.48313384113166
213,916,54.0971615720524
215,878,27.864464692482915
216,869,65.55005753739931
218,853,79.05041031652989
219,839,80.15613825983313
221,830,66.23493975903614
223,792,97.71085858585859
224,781,70.12291933418695
225,768,83.80989583333333
229,707,91.5983026874116
230,697,105.17503586800574
231,692,70.08526011560694
232,686,2.5145772594752187
234,659,86.7587253414264
235,645,47.417054263565895
236,633,114.7045813586098
239,578,84.5795847750865
240,564,53.6436170212766
242,511,90.69667318982387
243,508,7.872047244094488
245,497,4.76056338028169
246,477,1.79874213836478
247,457,1.776805251641138
248,425,11.105882352941176
249,423,17.004728132387708
250,408,11.705882352941176
252,396,0.7222222222222222
253,377,79.79045092838196
255,347,78.01152737752162
256,330,5.296969696969697
257,298,78.67114093959732
258,290,71.0551724137931
259,284,0.028169014084507043
260,280,0.575
261,255,4.345098039215686
262,208,5.3798076923076925
263,192,2.375
264,169,1.1597633136094674
265,144,3.638888888888889
266,142,33.17605633802817
267,114,3.0526315789473686
269,63,0.1746031746031746
270,22,0.0
271,2,0.0
28,1,4.0
127,4,2.25
170,5,2.2
157,14,1.3571428571428572
53,28,1.4285714285714286
9,37,2.0
205,5,2.6
32,43,1.813953488372093
76,49,7.061224489795919
176,56,1.1964285714285714
109,65,3.7384615384615385
89,69,3.0
57,81,4.703703703703703
68,84,13.30952380952381
96,107,9.710280373831775
64,122,5.081967213114754
181,131,3.1603053435114505
206,101,5.376237623762377
214,40,0.6
80,161,5.385093167701863
211,100,0.18
110,170,16.17058823529412
202,168,13.946428571428571
217,65,0.3076923076923077
222,46,0.0
72,232,33.28448275862069
15,266,20.530075187969924
220,105,5.466666666666667
134,276,2.9456521739130435
187,293,15.590443686006825
125,303,20.72937293729373
117,308,21.016233766233768
141,314,4.74203821656051
228,43,0.11627906976744186
19,341,14.173020527859238
69,355,18.76619718309859
226,101,50.118811881188115
233,69,53.43478260869565
45,390,16.925641025641024
142,422,17.16824644549763
237,48,0.0
118,471,50.2271762208068
227,215,45.43255813953488
183,492,21.022357723577237
185,499,21.412825651302605
128,503,30.514910536779325
88,523,44.961759082217974
63,543,17.69060773480663
164,575,37.509565217391305
90,577,45.21663778162912
244,93,1.6236559139784945
175,602,29.632890365448507
241,133,0.10526315789473684
251,21,0.0
104,652,40.736196319018404
84,653,24.716692189892804
238,280,16.557142857142857
77,702,18.58831908831909
146,710,9.43943661971831
254,64,8.75
115,720,18.475
92,745,17.743624161073825
40,792,86.08207070707071
4,808,85.98638613861387
103,831,87.05776173285199
14,856,63.26518691588785
31,858,98.32400932400932
35,886,29.791196388261852
174,926,90.33801295896328
199,937,79.30416221985058
189,978,30.067484662576685
268,72,0.20833333333333334
