Fish ID,Lifetime,Average Neighbors,Neighbors
3,15000,64.17693333333334,55
4,15000,71.93066666666667,62
7,15000,68.86126666666667,6
8,15000,51.315266666666666,49
12,15000,62.687,56
13,15000,48.243,28
17,15000,60.267133333333334,49
22,15000,66.7208,46
23,15000,74.77453333333334,34
24,15000,66.70246666666667,42
29,15000,69.2702,47
34,15000,58.10946666666667,34
36,15000,58.35706666666667,40
38,15000,72.95786666666666,34
40,15000,72.93066666666667,53
43,15000,72.96446666666667,49
50,15000,64.64013333333334,50
52,15000,62.14933333333333,4
56,15000,56.313066666666664,35
61,15000,74.28513333333333,54
63,15000,63.59806666666667,50
65,15000,66.15706666666667,55
76,15000,74.62846666666667,55
81,15000,58.708666666666666,49
85,15000,71.86873333333334,45
89,15000,64.92846666666667,45
90,15000,69.13973333333334,55
93,15000,67.93966666666667,32
95,15000,62.25566666666667,7
97,15000,65.44413333333334,3
101,15000,72.01513333333334,43
105,15000,63.468266666666665,55
106,15000,62.7632,39
109,15000,65.9548,61
111,15000,67.07573333333333,49
112,15000,67.5078,51
114,15000,67.49293333333334,35
116,15000,70.08353333333334,3
119,15000,65.43506666666667,55
121,15000,72.397,55
123,15000,71.94866666666667,52
125,15000,68.92233333333333,0
127,15000,69.44533333333334,45
128,15000,61.493,48
133,15000,67.70906666666667,58
134,15000,77.528,52
135,15000,65.85206666666667,52
137,15000,72.06926666666666,50
141,15000,70.24486666666667,56
142,15000,69.5782,30
144,15000,65.8634,50
149,15000,70.5574,42
151,15000,70.23146666666666,52
158,15000,69.90326666666667,55
159,15000,61.81313333333333,48
161,15000,68.01733333333334,44
163,15000,68.416,47
164,15000,70.3232,52
165,15000,70.3076,57
166,15000,60.674733333333336,53
170,15000,70.8828,34
171,15000,73.76526666666666,57
173,15000,76.29893333333334,5
174,15000,55.991,53
175,15000,69.2836,54
178,15000,64.34126666666667,52
179,15000,72.05286666666667,46
181,15000,57.19806666666667,59
184,15000,69.9656,53
189,15000,69.82173333333333,46
190,15000,63.7486,42
193,15000,68.67006666666667,51
194,15000,73.672,28
195,15000,72.85933333333334,57
198,15000,69.98113333333333,57
201,14979,68.62213765938981,55
207,14738,72.19982358528972,51
211,14669,71.30390619674142,55
212,14665,59.23423116263212,59
214,14624,64.99788019693655,53
215,14601,62.24950345866721,48
223,14171,69.53461294192364,58
234,13823,65.18201548144397,46
235,13802,75.29032024344298,48
238,13754,74.96291987785372,47
242,13609,68.41435814534499,57
243,13547,65.17472503137226,55
244,13493,68.80730749277403,49
245,13447,68.56570238714956,56
250,13192,71.28843238326259,5
251,13137,65.83382811905305,53
252,12980,64.31918335901386,54
253,12960,68.99467592592593,5
254,12939,78.00479171497024,59
257,12901,63.80094566312689,48
261,12839,69.20546771555416,42
263,12792,72.864602876798,6
269,12604,64.83592510314186,50
275,12461,81.07936762699623,55
277,12372,75.94107662463628,58
285,11829,68.87868797024262,44
286,11769,45.156342934828785,59
291,11587,53.28367998619142,0
292,10048,50.823546974522294,54
293,10047,49.84194286851797,41
294,10005,53.09275362318841,48
297,9929,61.11340517675496,60
298,9919,69.76247605605404,51
299,9912,63.5542776432607,28
300,9775,70.58659846547314,10
301,9728,60.471833881578945,52
303,9704,72.96681780708985,63
304,9676,67.18706076891277,43
305,9662,64.44804388325399,55
307,9575,55.729608355091386,47
308,9531,67.32347077956143,56
309,9508,61.51987799747581,42
310,9464,66.8795435333897,39
312,9371,67.963931277345,20
313,9365,61.92172984516818,44
314,9331,68.33522666380881,52
322,8866,66.04353710805324,60
326,8765,69.00422133485453,60
329,8651,70.49947982892151,47
336,8208,75.05287524366472,52
339,8084,53.25581395348837,2
340,8034,58.96390341050535,53
341,8027,58.36564096175408,45
344,7888,60.37398580121704,56
348,7798,60.77802000512952,52
349,7712,66.75674273858921,0
351,7657,70.42679900744417,52
352,7623,72.64121736849009,42
353,7548,44.17766295707472,42
